,0
area,0.0
aren,0.0003237076
aren you,0.0
argue,0.0
arm,0.0
armed,0.0
arms,0.0
army,0.00083611713
around,0.0007481434
arrest,0.0
arrested,0.0
arrive,0.0019020403
arrived,0.0
art,0.00020716537
artist,0.0
as,0.0001025111
ashamed,0.0008521669
aside,0.0
ask,0.00019575373
ask me,0.00030344317
ask question,0.00030791937
ask questions,0.0
ask something,0.0
ask you,0.0
asked,0.0005576684
asking,0.00027914302
asks,0.0
asleep,0.00012241151
ass,0.0005539155
asshole,0.0
assholes,0.0
assistant,0.00055157754
assume,0.00021212664
assure,0.0
at,6.0574308e-05
ate,4.0075334e-05
attack,0.0004488221
attacked,0.0
attempt,0.0
attention,0.00020709257
attitude,0.0
attorney,0.0
attractive,0.0
audience,0.0
aunt,0.0
authority,0.0
available,0.0005662556
avoid,0.0
aw,0.0
awake,0.0
aware,0.0
away it,0.0
away me,0.0
away you,0.0
awesome,9.138589e-05
awful,0.00095300085
babe,0.0
babies,0.0
baby,0.0003732467
baby it,0.0
back don,0.0
back it,0.0
back no,0.0
back okay,0.0006099899
back you,0.0
background,0.0
backup,0.00019064813
bad,0.0
bad it,0.0
bad news,0.0
badly,0.0
bag,0.00013400897
bags,0.0
balance,0.0
ball,0.00021229078
balls,0.0007595742
band,0.0
bang,0.0
bank,0.0
bar,0.00017400178
barely,0.0
bars,0.00020762197
base,0.0
based,0.0007672982
basement,0.0
basically,8.545784e-05
bastard,0.0
bastards,0.0
bat,0.0
bath,0.00027155902
bathroom,0.0002710161
battle,0.0
be,0.00027059132
beach,0.0014835161
bear,0.0
beat,0.00031620284
beating,0.0
beautiful,0.00021916117
beauty,0.0
because,0.00020851716
bed,0.00062504265
bedroom,0.0
been,0.00017346158
beer,9.335499e-05
before,0.0002402259
beg,0.0
began,0.0
begging,0.0
begin,0.00047506104
beginning,0.00027194098
begins,0.0
behave,0.0
behavior,0.00027064604
behind,0.002408738
being,0.0
believe,0.0003458283
believe it,0.0001926478
believe me,0.00071566796
believe that,0.0
believe this,0.00023464297
believe you,0.00030030758
believed,3.244103e-05
believes,0.0017075769
bell,0.0008346298
belong,0.00013321641
belongs,0.0
belt,0.0
besides,0.00022614344
best,0.0003245438
best friend,0.00037096924
best thing,0.0
bet,0.00029065652
better that,0.0
better you,0.0
bible,0.00017863502
big,0.00050014706
big deal,0.0
bigger,0.0
biggest,0.00028825033
bike,0.0
bill,0.0
bills,0.0
billy,0.0
bird,0.0
birds,0.00035133678
birth,0.0
birthday,0.0009891567
bit,0.00058578036
bitch,0.0
bite,0.0
black,7.118109e-05
blame,0.0
bleeding,0.0
bless,0.0
blew,0.0
blind,0.0009444316
block,0.00027873664
blocks,0.0
blood,0.0006330976
bloody,0.0
blow,0.0
blowing,0.0
blown,0.0
blows,0.0
blue,0.00025063264
board,0.00024737127
boat,0.0
bob,0.00017271885
bodies,0.0
body,0.0006851595
bomb,0.0
bone,0.00017423494
bones,0.0
book,0.00029613907
books,0.00027879953
boom,0.0
boots,0.0
bored,0.0
boring,0.0
born,0.00017557536
borrow,0.0015761357
boss,0.00032017071
both,0.0
bother,0.0
bottle,0.0
bottom,0.0
bought,0.00011220378
bound,0.0
bout,0.00029471447
bow,0.0
bowl,0.0
box,7.2175506e-05
boxes,0.0
boy,0.0005522127
boyfriend,0.00031492242
boys,0.00041345763
brain,0.00010128095
brains,0.0
brand,0.00033606027
brave,0.0
bread,8.114554e-05
break,0.00069623516
breakfast,0.0002889809
breaking,0.00011589254
breaks,0.0
breath,0.0004661864
breathe,0.0023035882
breathing,5.550952e-05
bridge,0.0
bright,0.00015118645
brilliant,0.0012630757
bring,0.0002117404
bringing,0.0
brings,0.00029689417
bro,0.0
broke,4.458531e-05
broken,0.0
brother,5.4135453e-05
brothers,0.0
brought,0.0008418957
brown,0.00011271888
bucks,0.0
buddy,0.0008186644
build,0.0007967457
building,4.4790035e-05
built,0.00019534626
bull,0.0
bullet,0.0
bullshit,0.0
bunch,0.00082968356
buried,0.00010436082
burn,0.00018755233
burned,0.0
burning,0.0
bury,0.0
bus,0.00017141426
business,0.0011187732
bust,0.0
busted,0.0
busy,0.0001488452
but,0.00057812757
but don,0.0008149241
but know,0.0010048101
but uh,0.0
butt,0.00041538753
butter,0.00010977165
button,0.0
buy,0.00020142157
buying,0.00030639276
by,0.0003276291
bye,0.00048772254
bye bye,0.00027325712
cab,0.0005293833
cake,0.0
california,0.0
call,0.00031936975
called,0.0003375508
calling,0.0007565426
calls,0.00024391782
calm,2.2621003e-05
calm down,0.0005529741
came,0.00011232883
came here,0.0
camera,1.1120264e-05
cameras,0.0
camp,0.0
can afford,0.0
can believe,0.00014622856
can can,0.000556891
can come,0.0
can find,8.687752e-05
can hear,0.0019185649
can help,0.00067732955
can it,0.00037079735
can leave,0.0
can let,0.00012724477
can remember,0.0
can stand,0.0010004048
can stay,0.0
can stop,0.0
can talk,0.00011333196
can tell,0.0006874001
can that,0.0
can this,0.00027800418
can wait,0.0
can you,0.0
cancer,0.0
candy,0.0
capable,0.00012923351
captain,0.0
car,0.00021517959
card,0.0004596058
cards,8.778668e-05
care,0.00016699838
care it,0.00074519415
care you,0.00019126372
career,0.0001369227
careful,0.0005757116
carefully,0.0
cares,0.0
carried,0.0
carry,0.0008827178
carrying,0.0
cars,3.9448765e-05
case,0.00017168421
cases,0.00074394065
cash,0.00010683212
cast,0.0
cat,0.0032454103
catch,0.00020622418
caught,0.0004476027
cause,4.118292e-05
cause you,6.178336e-05
caused,0.0
celebrate,0.0
cell,0.00022961995
cell phone,0.0
center,0.00043339242
central,0.0
century,0.0
certain,0.00029516933
certainly,0.00015606418
chain,0.0
chair,0.00020205004
challenge,0.0
champagne,0.0
chance,0.00010836139
chances,0.0
change,0.00030727923
changed,0.0007275318
changes,0.0
changing,0.00016511334
channel,0.0
character,0.00014452028
charge,0.00019390315
charges,0.0
charles,0.0
charlie,0.0
charming,0.0
chase,0.0
chasing,0.0
chat,0.0
cheap,0.0
check,0.00050264446
check out,0.001042231
checked,0.0002141222
checking,0.0
cheer,0.00051874295
cheering,0.0
cheers,7.501995e-05
cheese,0.0001244686
chest,0.00025728703
chick,0.002019435
chicken,0.0005486199
chief,0.0
child,0.00055747735
childhood,0.0
children,8.217152e-05
chill,0.0
china,0.0
chinese,0.0
chocolate,0.0
choice,0.0017658151
choose,7.263434e-05
chose,0.0
chosen,0.0
christ,0.0003569511
christmas,0.0
chuckles,0.0
church,7.855651e-05
cigarette,0.000117149815
circle,0.0
circumstances,0.0
city,0.00022770629
claim,0.0
class,0.0
classic,0.000565554
clean,0.00046361148
cleaned,0.0003062274
cleaning,0.0
clear,0.00014134051
clearly,0.0
clears,0.0
clever,0.0
client,0.0
climb,0.0
clock,0.0
close,0.00034962824
close eyes,0.0
closed,0.0
closer,5.166184e-05
closes,0.0
closet,0.0019799874
closing,0.0
clothes,0.0
club,3.4656266e-06
clue,0.0013676991
coast,0.0
coat,0.0031841558
code,0.0
coffee,0.0005241014
coincidence,0.0
cold,0.0007861562
collect,7.6127064e-05
college,0.0006014849
color,0.0
come back,0.00041451064
come come,0.0
come from,0.0002474058
come here,0.00027716512
come home,0.00031793668
come in,0.00031469858
come it,0.0
come me,0.0
come now,0.00091218774
come on,0.0017168624
come out,0.00022019545
come right,0.0
come us,0.0005784465
come you,0.0
comes,0.0003539939
comfort,0.0009852808
comfortable,0.0003931388
comin,0.0
coming,6.9455666e-05
coming back,0.0004802232
coming home,0.0010046026
coming in,0.00095024146
coming up,5.971353e-05
coming you,0.0010437706
command,0.0
commit,0.0
committed,0.0
common,0.0
community,0.00021970842
company,0.00037378864
complete,0.0004453752
completely,0.0
complicated,0.00011065515
computer,0.0005572868
concern,8.172381e-05
concerned,0.0005891407
condition,0.0
conference,0.0
confidence,0.0
confused,0.0
congratulations,0.00034106208
connected,0.0
connection,0.0
consider,0.0
considered,0.0
considering,0.0
contact,0.0
continue,0.00027510425
continues,0.0
contract,0.0
control,0.00018270242
conversation,5.6568457e-05
convince,0.0
convinced,0.0
cook,0.0005285192
cooking,0.0
cool,0.000101029866
cop,7.211645e-05
cops,0.0
copy,0.0
corner,0.0005826072
correct,0.0
cost,0.00020382651
costs,0.0
couch,0.0
could,5.7851226e-05
could ve,0.0
couldn,0.0017259805
count,0.0005314263
counting,0.0
country,0.0007454399
county,0.0018915838
couple,0.0006641427
couple days,0.0
courage,0.0
course,0.0006954286
course it,7.439867e-05
course not,0.0005067197
court,0.0
cousin,0.0
cover,0.00024921246
covered,0.0
cow,0.0
crack,0.000979024
crap,9.746409e-05
crash,0.0
crazy,0.00015590196
cream,0.0
create,0.00028161812
created,0.0
creature,0.00012206144
credit,0.0
crew,0.0
crime,0.0004118705
criminal,0.0
cross,0.00018460723
crossed,0.0
crowd,0.0
cruel,0.0
crush,0.00024955257
cry,0.00069075194
crying,0.00028844128
cup,0.0
curious,0.0
current,0.0
customers,0.0003239633
cut,0.00032420745
cute,0.0
cutting,0.0
da,0.0
dad,0.00021370003
daddy,0.0010397688
daily,0.0
damage,0.00010026673
damn,6.114013e-05
damn it,9.193753e-05
dance,7.754375e-05
dancing,0.0002788402
danger,0.00023686369
dangerous,0.00071610184
dare,0.0
dark,0.0
darkness,0.0
darling,0.0
date,0.00039902068
dating,0.0
daughter,0.00019751214
david,0.00020006413
dawn,0.0
day it,0.0
day you,0.0
days,0.00018135778
days ago,0.00028756706
de,0.0
dead,0.00038407888
deal,0.00030276977
dealing,0.00013919004
dear,0.00026091057
death,0.0003536666
decent,0.0
decide,0.0010747068
decided,0.0
decision,0.00018523674
deep,0.0006434275
deeply,0.0
defend,0.0007653271
defense,0.0
definitely,0.00034635956
degree,0.0006915197
degrees,0.0
delicious,0.0
deliver,0.0
demand,0.0
deny,0.0
department,0.00016622223
depends,0.0
describe,0.0
desert,0.0
deserve,0.0
desire,0.0
desk,0.0
desperate,0.0
destroy,0.0001599382
destroyed,0.0
detail,0.0
details,0.0
detective,0.0
devil,0.00028064157
dick,0.000473761
did,0.000235887
didn anything,0.0
didn ask,0.00036025172
didn come,0.0
didn hear,0.0
didn it,0.000113994625
didn know,0.0002661345
didn like,0.0
didn mean,8.620022e-05
didn tell,0.0003506019
didn that,0.0
didn think,0.0002751726
didn want,0.000506419
didn work,0.0
didn you,0.00071763754
die,0.0009584122
died,0.00028455196
dies,0.0
difference,0.0016057028
different,7.5051335e-05
difficult,0.0
dig,0.0
dinner,0.0005271864
direct,0.00019483348
direction,0.0
directly,0.00011868736
director,0.0
dirt,0.0
dirty,7.3552015e-05
disappear,0.001639027
disappeared,0.0
disappointed,0.0
disaster,0.0
discovered,0.0
discuss,6.0250517e-05
disease,0.0
disgusting,0.001046923
distance,7.9401776e-05
divorce,0.0
do do,0.0
do don,0.00013386107
do it,0.0
do know,0.001088486
do want,0.0
do well,0.0
do you,0.0
doc,0.0
doctor,0.00040815782
doctors,0.0
does,6.883581e-05
doesn,0.00052690203
doesn it,0.0
doesn know,0.00039334517
doesn like,0.0
doesn look,0.0
doesn matter,0.0002054101
doesn mean,0.0
doesn want,0.0
doesn work,0.0
dog,0.0
dogs,0.0
doin,0.0
doing,0.0010843667
dollar,0.0009746459
dollars,6.570351e-05
don anything,0.0
don ask,0.0
don believe,0.00023090918
don care,0.00013719605
don come,0.0
don don,0.0004578475
don feel,0.00017002899
don forget,0.0005227441
don fuck,0.0
don fucking,0.0
don go,0.0
don it,0.0
don leave,0.0011887567
don let,0.00042892166
don like,0.0009372669
don listen,0.0
don look,0.0
don love,0.0
don me,0.0
don mean,0.00021827978
don mind,0.0
don move,0.0
don need,0.00015345238
don play,0.0
don remember,0.0
don shit,0.0
don start,0.0
don stop,0.0
don talk,0.0015339564
don tell,0.00089408125
don that,0.0
don think,0.0011241244
don this,0.0
don time,0.00044030682
don touch,0.0
don trust,0.0
don try,0.0
don understand,0.00026914454
don wanna,0.0002831573
don want,0.00030278068
don work,0.0006919985
don worry,0.0004056975
don you,0.0
done,0.00037956017
door,0.0006541119
door open,0.0
doors,0.00032556584
double,0.0010953826
doubt,7.517489e-05
down don,0.0
down it,0.0
down you,0.0
downstairs,0.0007803056
downtown,0.0
dozen,0.0
dr,0.0005302605
drag,0.00013788049
draw,0.00021528285
dream,0.00012608919
dreaming,4.500756e-05
dreams,0.00035151793
dress,0.00016295485
dressed,0.0
drink,0.00023562653
drinking,0.00017236029
drinks,0.0
drive,5.214473e-05
driver,0.00038121548
driving,0.0
drop,8.1614235e-05
dropped,0.00017407635
drove,6.301923e-05
drug,0.00050765346
drugs,0.0
drunk,0.00013627451
dry,0.0
duck,0.0007831986
dude,0.0013158655
dumb,3.8042406e-05
dump,0.0
dust,0.0009720479
duty,0.0
dying,0.0004480133
ear,0.0
earlier,0.0001914167
early,0.00055439887
earn,0.00080424
ears,0.00016907652
earth,4.4419463e-05
ease,0.0
easier,0.0
easily,0.0
east,0.0
easy,0.00010849238
eat,0.00065247895
eaten,0.0
eating,0.00047760663
edge,0.0
education,0.0
effect,0.0
effort,0.0018511397
egg,0.0013797196
eggs,0.0
eh,0.00034408015
eight,7.2887764e-05
either,0.0
elevator,0.0
else,0.0003863987
em,0.00059768255
embarrassed,0.0009108592
embarrassing,0.0
emergency,0.00049491966
emotional,0.0
empty,0.0
end,9.825694e-05
ended,0.00077843986
ending,0.00035388264
ends,0.000259264
enemies,0.0
enemy,0.0
energy,0.0
engaged,0.0
engine,0.0
england,0.0
english,9.65657e-05
enjoy,0.0004469792
enjoyed,0.00021830948
enjoying,0.0
enough,0.000118468895
enter,0.0
entire,0.0006399243
entirely,0.0
equipment,0.0
escape,0.00041880197
especially,0.00011958703
estate,0.0
europe,0.0
even,0.0
evening,0.000302901
event,0.0
events,0.00024404698
eventually,6.0542803e-05
ever,0.0
everybody,9.050762e-05
everyone,6.914712e-05
everything,0.00081078196
everywhere,0.0
evidence,0.00039357904
evil,0.00072430086
ex,0.0
exact,0.0
exactly,0.00031402663
example,0.0002296051
excellent,0.0
exchange,0.00057221774
excited,0.0
exciting,0.0
excuse,0.0005511601
excuse me,0.00046138937
exist,0.0
expect,0.0003315176
expected,0.0005944642
expecting,0.0
expensive,0.00074703904
experience,0.0
expert,0.00043895288
explain,0.0001430264
express,0.0
extra,0.0
extremely,0.0
eye,0.00012618356
eyes,0.000447009
face,0.00035428428
face it,0.0
faces,8.497105e-05
fact,0.0005956503
facts,0.00019243198
fail,0.0
failed,0.0
failure,0.0
fair,0.00080165477
faith,0.00018399414
fake,0.00046586548
fall,0.00026380052
fallen,0.0
falling,0.0010805012
falls,0.0
false,0.0
familiar,0.0012504334
families,0.0
family,0.0001461477
famous,0.000119744655
fan,4.3276956e-05
fancy,0.0
fantastic,0.0
far,0.0003931268
far away,0.0
farm,0.0
fast,4.101631e-05
faster,0.00025464338
fat,0.00040303514
fate,0.0002699141
father,0.00011455681
fault,9.5739284e-05
favor,0.0004603068
favorite,0.0012371383
fear,0.00093484356
fed,0.0
federal,0.0
feed,0.00013789903
feel,0.00064730877
feel better,0.0
feel good,0.0
feel it,0.0
feel like,0.000102583355
feeling,8.680312e-05
feelings,0.0
feels,0.0
feels like,0.000105129024
feet,3.678688e-05
fell,0.0008782164
fella,8.911072e-05
fellas,0.0
fellow,0.0
felt,0.0006716346
felt like,0.0
female,0.0
field,0.0
fifth,0.0010971801
fight,0.00013299579
fighting,0.0
figure,0.0
figure out,0.0
figured,0.0
file,0.0008895263
fill,0.0003413384
filled,0.0
film,0.00023685068
filthy,0.0
final,0.0
finally,0.00030922427
find her,0.0
find him,0.0
find it,0.0
find me,0.00018891909
find out,0.00023054416
find way,0.0
find you,0.00028604106
finding,0.00040207236
finds,0.0
fine,0.00012336421
fine fine,0.0
fine it,0.0
fine you,0.0
finger,0.0
fingers,0.0
finish,6.886184e-05
finished,0.00015917438
fire,0.0015587566
fired,0.0
firm,0.0
first,0.000771817
fish,0.0
fishing,0.0
fit,0.00052350125
five,0.00010590333
fix,0.0
fix it,0.0
fixed,0.0
flat,0.0
flesh,0.0
flew,0.0
flies,0.0
flight,0.00039562103
floor,0.00010540425
flowers,0.00022433964
fly,0.00064333074
flying,0.00032100274
focus,0.0
folks,5.5553555e-05
follow,0.000102301994
follow me,0.00034488976
followed,0.0
following,0.00016023629
food,0.00029525478
fool,0.00057800626
foot,6.548275e-05
football,0.0
for,0.00081508164
force,0.0
forced,0.0
forces,0.0
foreign,0.0
forest,0.0
forever,0.00029169465
forget,0.00016733729
forget it,0.000823741
forgive,0.0
forgive me,0.0
forgot,0.00039158572
forgotten,0.0015171338
form,0.000115061695
forth,0.0
fortune,0.0
forward,0.0002470349
fought,0.0
found,0.0004063415
found it,0.0
four,4.403137e-05
fourth,0.00069816865
france,0.0
frank,0.0007820732
frankly,0.0
freak,0.00057383033
freaking,0.0
free,0.00035029792
freedom,0.0
freeze,0.0
french,0.00022893619
fresh,0.0
friday,0.00026728003
friend,0.00034776024
friendly,0.0009218041
friends,2.6032107e-05
frightened,0.00058264215
from,0.00028310294
front,0.000248915
fruit,0.0
fuck,0.00046108296
fuck fuck,0.0
fuck here,0.0009436214
fuck it,0.0036755316
fuck me,0.0008722019
fuck off,0.000980092
fuck that,0.0012379097
fuck up,0.0
fuck you,0.00033173454
fucked,0.0010268945
fucked up,0.0007108518
fucker,0.0002602321
fuckin,0.00082436146
fucking,0.0007695647
full,0.0
fully,0.0
fun,0.00022043652
funeral,0.0
funny,0.0
further,7.3479874e-05
future,8.998981e-05
game,0.0002689015
games,0.00019786227
gang,0.0
garage,0.0
garbage,0.00044578442
garden,0.0
gas,0.0
gasps,0.0006369735
gate,0.00051414827
gather,0.0
gave,0.0006670417
gave me,0.0
gay,0.0
gee,0.0
general,0.00016190302
generous,0.0
genius,0.00029313663
gentle,0.0
gentleman,0.0
gentlemen,9.748913e-05
george,0.0
german,0.0
get,0.0
gets,0.00073951826
gettin,0.00020400726
getting,0.00074077037
ghost,0.0
giant,0.0
gift,0.0008512398
girl,0.000114897
girlfriend,0.00021755754
girls,0.00016603342
give,0.0
given,1.1554854e-05
gives,0.00022979804
giving,0.001450982
glad,0.00048310115
glad you,0.0
glass,0.0
glasses,0.0
glory,0.0
go come,0.0011073801
go don,0.00026604376
go go,0.0024193474
go got,0.0
go hey,0.0
go it,0.0
go let,0.00010486665
go ll,0.0
go no,0.00042815664
go oh,0.0
go okay,0.0
go right,0.0
go that,0.0
go we,0.0
go what,0.0
go yeah,0.0
go you,0.0
goal,0.0
god,0.0006126933
god bless,0.0
god damn,0.0
god don,0.0
god it,0.0
god no,0.0
god oh,0.0003478705
god sake,0.00069098704
god that,0.0
god you,4.4956843e-05
goddamn,6.3286694e-05
goddamn it,0.0
goes,9.737333e-05
goin,0.0
going anywhere,0.0007455607
going come,0.0
going do,0.00040555705
going going,0.0
going happen,0.0
going here,0.00031764843
going home,0.00037161296
going it,0.0009792943
going kill,0.0
going on,8.653717e-06
going right,0.00031138927
going tell,0.0
going there,0.0008989104
going to,0.0
going you,5.7570523e-05
gold,0.0
golden,0.0
gone,5.8106238e-05
gonna,9.3692666e-05
gonna ask,0.0
gonna be,0.0
gonna come,0.0
gonna die,0.0
gonna do,9.9202014e-05
gonna find,0.0005322435
gonna fine,0.0
gonna go,0.0
gonna happen,0.00016384717
gonna help,6.663209e-05
gonna it,0.0
gonna kill,0.0
gonna leave,0.00012500856
gonna let,0.00016047093
gonna like,0.0
gonna need,0.00038505677
gonna okay,0.0
gonna right,0.0009376701
gonna stay,0.0
gonna talk,0.00027546173
gonna tell,0.0
gonna try,0.0
gonna work,7.503965e-05
gonna you,0.0
good afternoon,0.0
good boy,0.0
good bye,0.0
good day,0.0
good don,0.0
good evening,0.0005474531
good girl,0.0
good good,0.0010864661
good idea,0.00049613
good it,0.00029202655
good job,0.0
good know,0.0
good look,0.0
good luck,0.00017833323
good man,0.0
good me,0.0
good morning,0.0
good news,0.0
good night,0.0
good okay,0.0
good one,0.00014753845
good right,0.0
good that,0.0
good thing,0.00066516956
good time,0.0
good yeah,0.0
good you,0.00051350286
goodbye,0.0005493452
goodness,0.0
gorgeous,0.00061445637
gosh,0.0
got big,0.0
got go,0.0
got good,0.0
got here,9.723288e-06
got him,0.0
got idea,0.0
got it,0.00014432732
got job,0.0
got little,0.00021213929
got lot,0.0
got me,0.0
got money,0.0
got new,0.0
got one,0.0007049116
got problem,0.0
got right,0.0
got that,0.0
got there,0.0
got this,0.0
got time,0.0
got you,0.0
gotta,7.94732e-05
gotta go,0.000160672
gotten,0.0
government,0.0003915162
grab,0.0005023123
grace,0.000254048
grade,0.0
grand,0.0
grandfather,0.0
grandma,9.058713e-05
grandmother,0.0
grass,0.0
grateful,0.0
grave,0.0
great,0.00026705922
great you,0.0
greater,0.0007872285
greatest,0.00018229427
green,0.00038783086
grew,0.0
groans,0.0
gross,0.0
ground,0.00026771703
group,0.0
grow,0.00042016845
grow up,0.0
growing,0.0
grown,7.832484e-05
grunting,0.0
grunts,0.0
guarantee,0.0
guard,0.0
guess,0.00090676296
guess it,0.0
guess what,0.0
guess you,0.0
guest,0.0
guests,0.0
guide,0.0
guilty,0.00066292315
gun,0.0005829593
guns,0.0
guts,0.0
guy,0.000832403
guys,0.0008122923
guys come,0.0
ha,8.55716e-05
ha ha,0.00016641337
had,0.0
hadn,0.0
hair,0.00019637021
half,0.00048730214
half hour,0.00029831985
hall,0.0006154383
hand,0.000589273
handed,0.0
handle,0.0013294903
handle it,0.0
hands,0.00071821525
handsome,0.0007756852
hang,0.001938595
hang on,0.0
hanging,0.0002226452
happen,0.00015951469
happened,0.0005480429
happened you,1.0424558e-06
happening,0.0006244358
happens,0.00081308134
happiness,0.0
happy,0.00036949964
happy birthday,0.0
happy you,0.002713805
hard,0.00033990396
harder,0.0
hardly,0.0
harm,0.00022021928
has,0.0
hasn,0.0004956634
hat,0.0007210916
hate,0.0
hate you,0.0
hated,2.7643608e-05
hates,0.0
have,0.0004346461
haven,0.0011538008
haven got,0.0
haven heard,0.0
haven seen,0.0
having,0.00058860244
having fun,0.0
he coming,0.001211386
he dead,0.0
he getting,0.0
he going,0.0
he gone,0.0
he gonna,0.0
he good,0.0
he got,6.81843e-05
he he,7.709015e-05
he here,0.00025367353
he like,0.001154509
he ll,0.00027589526
he right,0.0
he there,0.0
he trying,0.0
head,0.00051339564
headed,0.00021213389
heading,0.00032431245
heads,1.8377896e-05
health,0.0002210704
healthy,0.0010264749
hear,0.00026949513
hear it,0.0007184881
hear me,0.00026280514
hear that,7.829908e-05
hear you,0.0003429885
heard,0.00020025655
heard it,0.0
heard you,0.0
hearing,0.00015591746
heart,0.0
hearts,0.00084115466
heat,0.0
heaven,0.0
heavy,0.0004350228
heck,0.0012413935
held,0.0012872787
hell,0.00161797
hell doing,0.0
hell going,0.0
hell here,0.00014426793
hell that,0.0006528048
hell you,0.0
hello,0.0003042442
hello hello,0.00017448628
hello hey,0.0
hello hi,0.0
help help,0.00014607546
help it,0.0
help me,0.0013570191
help out,0.0
help us,0.0
help you,0.0024202052
helped,0.0
helping,0.0
helps,0.0
her,0.00039405294
her don,0.0
her it,0.0
her know,0.0
her no,0.0
her she,0.0
her you,0.0
here can,0.0
here come,0.000715598
here don,0.00010802768
here go,0.0
here gonna,0.0
here good,6.436831e-05
here got,0.00033363685
here he,6.1899394e-05
here here,0.0
here hey,0.0
here it,0.00053969526
here know,0.00020482535
here let,0.0
here like,0.0
here ll,0.00040302426
here look,0.0006207547
here man,0.0
here need,0.0
here no,0.0
here now,0.0
here oh,0.0
here okay,0.0
here please,0.0
here right,9.4532894e-05
here that,5.805259e-05
here there,5.614418e-05
here think,0.0
here want,0.00025823642
here we,0.0
here well,0.0
here what,0.0003806671
here yeah,0.0
here yes,0.00017705324
here you,8.9645626e-05
hero,0.0
herself,0.0
hey,0.009929511
hey come,0.0002782901
hey doing,0.0006154422
hey don,0.0
hey got,0.001678003
hey guys,0.0005837539
hey hey,0.0
hey hi,0.00033126058
hey it,9.995004e-05
hey know,0.0
hey let,0.0
hey listen,0.0
hey look,0.0
hey man,0.0
hey that,0.00020334109
hey there,0.0
hey wait,0.0007625895
hey what,0.0
hey you,5.1071765e-05
hi,0.00063585053
hi hey,0.0
hi hi,0.0
hi you,0.0
hidden,0.0
hide,0.00018810236
hiding,0.0
high,0.00012433279
high school,0.002261167
higher,0.0
highest,0.0
highly,0.0007388541
hill,9.254697e-05
him can,0.0
him come,0.0
him didn,0.0
him don,0.0014629916
him got,0.0
him he,0.00023336883
him it,0.001180228
him know,0.0
him no,0.00033011928
him oh,0.0
him right,0.0
him that,0.0
him well,0.0
him what,0.0
him yeah,0.0
him you,0.0
himself,0.00026958925
hip,0.0
hire,0.0
hired,0.0
his,0.0003316456
history,0.00025803587
hit,0.00080432586
hit me,0.0018089006
hits,0.0
hitting,0.0
hm,0.0006338866
hmm,0.00039301664
ho,0.001164628
hold,0.00038563108
hold it,0.0
hold on,0.00038282943
hold second,0.0005280167
holding,0.0015579826
hole,0.0
holiday,0.0
holy,0.0
holy shit,0.0008845745
home you,0.00016930304
homes,0.0
honest,0.0012873086
honestly,0.0
honey,0.0002664813
honor,0.00030018203
hoo,0.00012960825
hook,0.00047733609
hop,0.0010832733
hope,0.00030862392
hope so,0.0
hope you,0.0
hoped,0.0
hoping,0.00030076693
horn,0.0
horrible,0.0011781378
horse,0.0
horses,0.0
hospital,0.0002981304
